Fold,R2_log,MAE_original,RMSE_original,MAPE_original,Model
1,9.98848379e-01,1.77497095e-05,6.56296672e-05,1.45711288e+01,SimpleNN
2,9.98895884e-01,9.27631299e-06,3.10238669e-05,1.38385728e+01,SimpleNN
3,9.98637915e-01,2.64503706e-05,1.02045484e-04,1.62803710e+01,SimpleNN
4,9.98766005e-01,1.61322259e-05,5.04208991e-05,1.56464860e+01,SimpleNN
5,9.98695731e-01,1.21393523e-05,4.35142968e-05,1.58524692e+01,SimpleNN
6,9.98858452e-01,1.00308189e-05,3.56609897e-05,1.32290900e+01,SimpleNN
7,9.98891652e-01,1.12533517e-05,3.97092251e-05,1.23914614e+01,SimpleNN
8,9.98836279e-01,2.96051639e-05,9.88775261e-05,1.73554257e+01,SimpleNN
9,9.98892963e-01,3.01488126e-05,1.22752615e-04,1.54394612e+01,SimpleNN
10,9.98707592e-01,1.62759370e-05,5.97850149e-05,1.46945775e+01,SimpleNN
