R2_log,MAE_log,RMSE_log,MAPE_log,MAE_Orig,RMSE_Orig,MAPE_Orig,Model
0.9988211393356323,0.017508454620838165,0.03391041099214045,41.96481108665466,1.3687771126607982e-05,5.2562389959049924e-05,129.18293715427794,SimpleNN
0.9994484186172485,0.01377684623003006,0.02308782106306283,11.2808458507061,1.2987871631558129e-05,5.647347967126244e-05,143.7979025406941,SimpleNN
0.9996630549430847,0.009620225988328457,0.018524239051350495,6.270445138216019,1.2582165131376605e-05,5.027406365190446e-05,166.8649805353769,SimpleNN
0.9990019202232361,0.016031108796596527,0.03195547468318128,9.832953661680222,3.258224781617807e-05,0.00013611873586810605,157.3572304171624,SimpleNN
0.9991447925567627,0.015934854745864868,0.02940956437057076,9.91826131939888,2.0732929376563918e-05,9.571660897290333e-05,127.64661175938696,SimpleNN
0.9991881847381592,0.014910722151398659,0.028264427333721275,12.263703346252441,1.4712779764430423e-05,5.147032344757546e-05,136.2850977747536,SimpleNN
0.9993890523910522,0.014131876640021801,0.024656854016628635,12.050218880176544,1.0707187790503895e-05,4.403667206708652e-05,148.929707929425,SimpleNN
0.9995143413543701,0.013704863376915455,0.022185532873471497,18.497180938720703,1.590437292193986e-05,5.8462289119141514e-05,183.19511860605624,SimpleNN
0.9990301132202148,0.01841624453663826,0.031197296716809146,18.16018968820572,2.763243645196962e-05,9.078620660913079e-05,141.77359373959567,SimpleNN
0.9995388984680176,0.01188751868903637,0.021561432276210442,6.186113879084587,2.8049363882086516e-05,0.0001026947649664505,155.59076094877355,SimpleNN
